H	varH	pvalH	M	L	jkFGr	varFGr	error	signal	dataset	gwas	contrasts	nsnp
1.02697913089868e-06	7.73282159039903e-16	9.65584976561744e-20	1e+05	1288276	7.88520009297447e-06	1.3230437433176e-05	0.5959893716894	0.4040106283106	HGDP1KG	e10	eurasia-long	pruneall
2.25878527652789e-06	5.71184127824785e-15	1.14869281302768e-104	1e+05	1615083	7.2421895714802e-06	3.64815766477798e-05	0.198516353648902	0.801483646351098	HGDP1KG	e10	eur-lat	pruneall
9.24808684017352e-07	6.76158056982893e-16	3.35947775476959e-32	1e+05	1615083	5.3034242385793e-06	1.49365587075071e-05	0.355063327666888	0.644936672333112	HGDP1KG	e10	eur-long	pruneall
1.48773573812414e-06	2.06728415782327e-15	1.20140941794408e-84	1e+05	1658527	7.76429155459821e-06	2.46747158978914e-05	0.31466589470486	0.68533410529514	HGDP1KG	e10	sdi-eur	pruneall
1.18763664250095e-06	1.02352245886687e-15	1.83543360863955e-33	1e+05	1244072	8.40758719245434e-06	1.47751789301605e-05	0.569034543148036	0.430965456851964	HGDP1KG	e10	eas-nfe	pruneall
7.20518839860292e-07	2.34414947735822e-16	0.999999973399298	1e+05	1244072	7.34220691978503e-06	8.96384836953942e-06	0.819090932498927	0.180909067501073	HGDP1KG	e10	eas-sas	pruneall
1.03031307997224e-06	6.50651194243059e-16	3.35412129383102e-19	1e+05	1244072	6.21396650413851e-06	1.281794411346e-05	0.484786518737687	0.515213481262313	HGDP1KG	e10	eas-afr	pruneall
8.52536143237675e-07	2.89800766340818e-16	0.0021040498106922	1e+05	1244072	7.18423278037849e-06	1.06062524597084e-05	0.67735826651971	0.32264173348029	HGDP1KG	e10	eas-amr	pruneall
1.73537888462062e-06	1.89834461930517e-15	1.00581251093949e-101	1e+05	1244072	9.95266286322849e-06	2.15895439853535e-05	0.460994584692499	0.539005415307501	HGDP1KG	e10	nfe-sas	pruneall
1.83848051182458e-06	3.034950447359e-15	5.37302665920522e-79	1e+05	1244072	6.60519390242125e-06	2.28722132256031e-05	0.288786827810236	0.711213172189764	HGDP1KG	e10	nfe-afr	pruneall
1.02062798802143e-06	6.21915342082286e-16	1.74802635943821e-18	1e+05	1244072	8.26838214700719e-06	1.26974535851223e-05	0.651184278137099	0.348815721862901	HGDP1KG	e10	nfe-amr	pruneall
1.26399920176386e-06	1.15462834227839e-15	4.36158108068815e-42	1e+05	1244072	5.84246501014555e-06	1.5725192121315e-05	0.371535365995705	0.628464634004295	HGDP1KG	e10	sas-afr	pruneall
8.22838946751616e-07	1.76825583411449e-16	0.0762423932168744	1e+05	1244072	7.17097429051208e-06	1.0236794852808e-05	0.700509719460195	0.299490280539805	HGDP1KG	e10	sas-amr	pruneall
1.55311460011531e-06	1.99140477661611e-15	1.41960118779566e-63	1e+05	1244072	6.21581586402105e-06	1.93220260259272e-05	0.321695864381942	0.678304135618058	HGDP1KG	e10	afr-amr	pruneall
1.45099844578964e-05	3.30304600016986e-13	1.411354515127e-126	1e+05	1295026	8.37573625148968e-06	0.000187909660222742	0.0445732073676327	0.955426792632367	HGDP1KG	e50	eurasia-lat	pruneall
9.27327384281055e-06	1.29151584423627e-13	5.23081239917283e-124	1e+05	1295026	8.0034909435988e-06	0.000120092322773418	0.0666444844996397	0.93335551550036	HGDP1KG	e50	eurasia-long	pruneall
4.62132970999848e-06	3.00657957236845e-14	2.43172708779556e-118	1e+05	1622651	7.19891870189219e-06	7.49887102131237e-05	0.0960000336241589	0.903999966375841	HGDP1KG	e50	eur-lat	pruneall
3.13825245542387e-06	1.36552922290153e-14	1.32735296160932e-103	1e+05	1622651	5.28984284953971e-06	5.09233313187434e-05	0.103878570245711	0.896121429754289	HGDP1KG	e50	eur-long	pruneall
2.34108871631739e-06	6.33893148035686e-15	2.71064360747105e-106	1e+05	1666283	7.74125749622809e-06	3.90095065682204e-05	0.198445409266843	0.801554590733157	HGDP1KG	e50	sdi-eur	pruneall
1.05434029497124e-05	1.67633627769711e-13	1.70985809984956e-125	1e+05	1251010	8.54369866355092e-06	0.000131900133374556	0.0647739956356938	0.935226004364306	HGDP1KG	e50	eas-nfe	pruneall
3.25137691055982e-06	1.23936832465208e-14	8.21898707924383e-108	1e+05	1251010	7.4187934809109e-06	4.06753920152024e-05	0.182390214657013	0.817609785342987	HGDP1KG	e50	eas-sas	pruneall
7.52959896803381e-06	8.49105840926507e-14	2.49877783551433e-118	1e+05	1251010	6.37438288788713e-06	9.41968274263549e-05	0.0676708872479888	0.932329112752011	HGDP1KG	e50	eas-afr	pruneall
4.89004090491055e-06	3.21000878312084e-14	1.10434563850735e-115	1e+05	1251010	7.2499299640502e-06	6.11754146778893e-05	0.118510516066359	0.881489483933641	HGDP1KG	e50	eas-amr	pruneall
1.69525319171632e-05	4.4822391821439e-13	6.44867440300325e-129	1e+05	1251010	1.00508045215902e-05	0.000212079651282914	0.0473916496033014	0.952608350396699	HGDP1KG	e50	nfe-sas	pruneall
1.96577750686284e-05	6.27622616909585e-13	1.50596981794263e-125	1e+05	1251010	6.88777869800654e-06	0.000245922797958684	0.0280078900987607	0.971992109901239	HGDP1KG	e50	nfe-afr	pruneall
9.49810863818477e-06	1.34344649003361e-13	8.29317148447551e-125	1e+05	1251010	8.38329990208177e-06	0.00011882328714533	0.0705526677765475	0.929447332223452	HGDP1KG	e50	nfe-amr	pruneall
1.23965298394011e-05	2.44039977840248e-13	3.59804288295588e-122	1e+05	1251010	6.07186620421737e-06	0.000155083130844703	0.0391523318567615	0.960847668143239	HGDP1KG	e50	sas-afr	pruneall
4.49754010759151e-06	2.65400955795426e-14	2.20936508421666e-114	1e+05	1251010	7.19312392293172e-06	5.62651492007064e-05	0.12784332797684	0.872156672023161	HGDP1KG	e50	sas-amr	pruneall
1.34647645228786e-05	2.88420858608478e-13	2.85469424918241e-123	1e+05	1251010	6.44275824113545e-06	0.000168446965832139	0.0382479922348723	0.961752007765128	HGDP1KG	e50	afr-amr	pruneall
0.000295351531675858	1.49216403938445e-10	7.89737422407517e-129	1e+05	1374027	8.48586886252155e-06	0.00405824446555601	0.00209101963534839	0.997908980364652	HGDP1KG	e200	eurasia-lat	pruneall
0.000235262489102515	9.45979184640839e-11	8.94841539246219e-129	1e+05	1374027	8.16014162951664e-06	0.00323259774186997	0.0025243294344431	0.997475670565557	HGDP1KG	e200	eurasia-long	pruneall
2.14714848398047e-05	7.62164552458204e-13	9.46532342639086e-127	1e+05	1698480	6.97036931689354e-06	0.000364692093198476	0.0191130256095244	0.980886974390476	HGDP1KG	e200	eur-lat	pruneall
3.12130624586986e-05	1.64078154487084e-12	1.26849265974021e-126	1e+05	1698480	5.2291002298401e-06	0.000530152300510444	0.00986339250967203	0.990136607490328	HGDP1KG	e200	eur-long	pruneall
2.82590382131319e-06	1.00845111284144e-14	1.13757858006809e-111	1e+05	1742138	7.56906222021345e-06	4.92315801122901e-05	0.153744044025187	0.846255955974813	HGDP1KG	e200	sdi-eur	pruneall
0.000269920966488139	1.24560890263875e-10	8.06155120737825e-129	1e+05	1340826	8.61865467371034e-06	0.00361920129171986	0.0023813692522238	0.997618630747776	HGDP1KG	e200	eas-nfe	pruneall
0.000123244794202344	2.58598891550669e-11	1.62905833865762e-128	1e+05	1340826	7.48116607622336e-06	0.00165251230453961	0.00452714697232323	0.995472853027677	HGDP1KG	e200	eas-sas	pruneall
0.000483524256474575	4.00779609928199e-10	8.60996152944284e-129	1e+05	1340826	6.96013943523423e-06	0.00648327410937735	0.00107355316431356	0.998926446835686	HGDP1KG	e200	eas-afr	pruneall
0.000137172278236806	3.20687255367299e-11	1.54696711928074e-128	1e+05	1340826	7.27477965867002e-06	0.0018392572205191	0.00395528128285223	0.996044718717148	HGDP1KG	e200	eas-amr	pruneall
0.000282694472522076	1.36553964456722e-10	6.38456752475247e-129	1e+05	1340826	9.9463347110505e-06	0.0037904732389839	0.0026240350700159	0.997375964929984	HGDP1KG	e200	nfe-sas	pruneall
0.000928124867026478	1.47796062612901e-09	7.224166342887e-129	1e+05	1340826	7.84622369444729e-06	0.0124446454135202	0.000630489936332213	0.999369510063668	HGDP1KG	e200	nfe-afr	pruneall
0.00019348274579566	6.38943796471563e-11	9.34951700330751e-129	1e+05	1340826	8.37571331917529e-06	0.00259428903437899	0.00322851972474232	0.996771480275258	HGDP1KG	e200	nfe-amr	pruneall
0.000751164640515928	9.67994025552794e-10	7.81382226945081e-129	1e+05	1340826	6.99019264405608e-06	0.0100718964985219	0.000694029435775273	0.999305970564225	HGDP1KG	e200	sas-afr	pruneall
3.17087623499681e-05	1.67019146046264e-12	3.76954766081519e-127	1e+05	1340826	7.11700857822803e-06	0.000425162947321046	0.0167394845272203	0.98326051547278	HGDP1KG	e200	sas-amr	pruneall
0.000728878411320066	9.11309051744373e-10	7.70709145568918e-129	1e+05	1340826	7.27129798553577e-06	0.00977307440054761	0.000744013366472309	0.999255986633528	HGDP1KG	e200	afr-amr	pruneall
